sb_n,edl_used,outer_f,gesture,recall
3,0,3,3,0.8983957219251337
3,0,3,4,0.8403361344537815
3,0,3,5,0.76
3,0,3,6,0.7525773195876289
3,0,3,7,0.7757009345794392
3,0,3,8,0.875
3,0,3,9,0.8508771929824561
3,0,3,10,1.0
3,0,3,11,0.8846153846153846
3,0,3,12,0.93
4,0,3,1,0.9433962264150944
4,0,3,2,0.9831932773109244
4,0,3,3,0.8289473684210527
4,0,3,4,0.848
4,0,3,5,0.8636363636363636
4,0,3,6,0.7785714285714286
4,0,3,7,0.7876712328767124
4,0,3,8,0.9333333333333332
4,0,3,9,0.9625
4,0,3,10,0.3059701492537313
4,0,3,11,0.6827586206896552
4,0,3,12,0.7808219178082192
5,0,3,1,0.6136363636363636
5,0,3,2,0.9175257731958762
5,0,3,3,0.6753731343283582
5,0,3,4,0.8727272727272727
5,0,3,5,0.4666666666666667
5,0,3,6,0.9285714285714286
5,0,3,7,0.7535211267605634
5,0,3,8,0.8802816901408451
5,0,3,9,0.860655737704918
5,0,3,10,0.9912280701754386
5,0,3,11,1.0
5,0,3,12,0.9310344827586208
6,0,3,1,0.5612244897959183
6,0,3,2,0.4391891891891892
6,0,3,3,0.7425742574257426
6,0,3,4,0.5401459854014599
6,0,3,5,0.8125
6,0,3,6,0.7398843930635838
6,0,3,7,0.5196078431372549
6,0,3,8,0.6280487804878049
6,0,3,9,0.7909090909090909
6,0,3,10,0.9503105590062112
6,0,3,11,0.4651162790697674
6,0,3,12,0.935064935064935
7,0,3,1,0.8642533936651584
7,0,3,2,0.8220338983050848
7,0,3,3,0.8085106382978723
7,0,3,4,0.8439716312056738
7,0,3,5,0.9908256880733946
7,0,3,6,0.8257575757575758
7,0,3,7,1.0
7,0,3,8,0.8661971830985915
7,0,3,9,0.6296296296296297
7,0,3,10,1.0
7,0,3,11,0.2627118644067797
7,0,3,12,0.6271186440677966
8,0,3,1,0.9661654135338346
8,0,3,2,0.7120000000000001
8,0,3,3,0.9736842105263158
8,0,3,4,0.75
8,0,3,5,0.6875
8,0,3,6,0.6796875
8,0,3,7,0.89171974522293
8,0,3,8,0.916030534351145
8,0,3,9,0.37209302325581395
8,0,3,10,0.8583690987124464
8,0,3,11,0.41025641025641024
8,0,3,12,0.9831932773109244
9,0,3,1,0.6028708133971292
9,0,3,2,0.8480392156862745
9,0,3,3,1.0
9,0,3,4,0.8125
9,0,3,5,0.7964601769911505
9,0,3,6,0.8648648648648649
9,0,3,7,0.7037037037037037
9,0,3,8,0.9747899159663864
9,0,3,9,0.8484848484848485
9,0,3,10,1.0
9,0,3,11,0.8
