sb_n,edl_used,outer_f,gesture,recall
9,2,1,3,1.0
9,2,1,4,0.7179487179487181
9,2,1,5,0.9454545454545454
9,2,1,6,0.7835820895522388
9,2,1,7,0.9333333333333332
9,2,1,8,0.5815602836879432
9,2,1,9,0.1038961038961039
9,2,1,10,1.0
9,2,1,11,0.11363636363636365
9,2,1,12,0.6835443037974683
10,2,1,1,0.7380952380952381
10,2,1,2,1.0
10,2,1,3,0.6972972972972973
10,2,1,4,0.7068965517241379
10,2,1,5,0.4565217391304348
10,2,1,6,0.7305389221556886
10,2,1,7,0.8785046728971962
10,2,1,8,0.8855421686746988
10,2,1,9,0.4074074074074074
10,2,1,10,0.4901960784313725
10,2,1,11,0.0
10,2,1,12,0.3577981651376147
1,2,2,1,0.3759398496240601
1,2,2,2,1.0
1,2,2,3,0.851063829787234
1,2,2,4,1.0
1,2,2,5,0.7542372881355932
1,2,2,6,0.29457364341085274
1,2,2,7,0.3167701863354037
1,2,2,8,0.7179487179487181
1,2,2,9,0.8319327731092437
1,2,2,10,0.5617977528089888
1,2,2,11,0.9444444444444444
1,2,2,12,1.0
2,2,2,1,0.6870229007633588
2,2,2,2,0.4311377245508982
2,2,2,3,0.917098445595855
2,2,2,4,0.7740384615384616
2,2,2,5,0.6214689265536724
2,2,2,6,0.6162162162162163
2,2,2,7,0.6479591836734694
2,2,2,8,0.75
2,2,2,9,0.4789915966386555
2,2,2,10,0.8837209302325582
2,2,2,11,0.8620689655172413
2,2,2,12,0.7866666666666666
3,2,2,1,0.8907563025210085
3,2,2,2,0.9649122807017544
3,2,2,3,0.4696132596685083
3,2,2,4,0.8740157480314961
3,2,2,5,0.6848484848484848
3,2,2,6,0.6559999999999999
3,2,2,7,0.9302325581395348
3,2,2,8,0.8829787234042553
3,2,2,9,0.89
3,2,2,10,0.6
3,2,2,11,1.0
3,2,2,12,0.9693877551020408
4,2,2,1,0.8669950738916257
4,2,2,2,0.5972222222222222
4,2,2,3,0.6566265060240963
4,2,2,4,0.7983870967741935
4,2,2,5,0.9514563106796116
4,2,2,6,0.7530864197530864
4,2,2,7,0.6627218934911243
4,2,2,8,0.75
4,2,2,9,0.98125
4,2,2,10,0.10434782608695653
4,2,2,11,0.21212121212121213
4,2,2,12,0.9932885906040269
5,2,2,1,0.0
5,2,2,2,0.7613636363636364
5,2,2,3,0.012658227848101266
5,2,2,4,0.8947368421052632
5,2,2,5,0.6857142857142857
5,2,2,6,0.951048951048951
5,2,2,7,0.5034965034965035
5,2,2,8,0.8675496688741722
5,2,2,9,0.6991869918699187
5,2,2,10,0.9482758620689656
5,2,2,11,0.9243697478991596
5,2,2,12,0.9098360655737704
6,2,2,1,0.5545454545454546
6,2,2,2,0.5255474452554745
6,2,2,3,0.7472527472527473
6,2,2,4,0.5914634146341463
6,2,2,5,0.6190476190476191
6,2,2,6,0.285
6,2,2,7,0.6161137440758294
6,2,2,8,0.5
6,2,2,9,0.1862745098039216
6,2,2,10,0.9693251533742332
6,2,2,11,0.5514705882352942
6,2,2,12,0.4618834080717489
7,2,2,1,0.8933333333333333
7,2,2,2,0.5319148936170213
7,2,2,3,0.6686746987951807
7,2,2,4,0.7575757575757576
7,2,2,5,0.9923076923076924
7,2,2,6,0.9212121212121211
7,2,2,7,0.931372549019608
7,2,2,8,0.8968253968253969
7,2,2,9,0.39669421487603307
7,2,2,10,0.8725868725868726
7,2,2,11,0.234375
7,2,2,12,0.8905109489051095
8,2,2,1,0.6377358490566037
8,2,2,2,0.7204301075268817
8,2,2,3,1.0
8,2,2,4,0.8611111111111112
8,2,2,5,1.0
8,2,2,6,0.5033557046979866
8,2,2,7,0.7622950819672131
8,2,2,8,0.8285714285714286
8,2,2,9,0.7272727272727273
8,2,2,10,0.9894179894179894
8,2,2,11,0.6125
8,2,2,12,0.7040000000000001
