sb_n,edl_used,outer_f,acti_fun,skew,uncertainty,AUROC,AP,nAP
9,2,1,softplus,0.36658354114713215,un_prob,0.9008868311103968,0.7841559863081229,0.7263260525415904
9,2,1,softplus,0.36658354114713215,vacuity,0.8949947104826182,0.7876254074043096,0.7307250171019156
9,2,1,softplus,0.36658354114713215,dissonance,0.7746314076811828,0.556555176014321,0.4377453727607017
9,2,1,softplus,0.36658354114713215,overall,0.9051686619529702,0.7941466698553232,0.7389934865713951
10,2,1,softplus,0.3496071829405163,entropy,0.8429355300204832,0.7024343332997947,0.6280447272734082
10,2,1,softplus,0.3496071829405163,un_prob,0.8475466618286367,0.7068680391695028,0.6335868326320157
10,2,1,softplus,0.3496071829405163,vacuity,0.8314080467331527,0.6937678566568429,0.6172116842041102
10,2,1,softplus,0.3496071829405163,dissonance,0.7126431846793257,0.5047416519705299,0.3809300785462702
10,2,1,softplus,0.3496071829405163,overall,0.8426211504077934,0.7022177123594069,0.627773952416034
1,2,2,softplus,0.32360922659430125,entropy,0.7653064013844468,0.6211278638264777,0.5361935099894368
1,2,2,softplus,0.32360922659430125,un_prob,0.782189335301502,0.6422552135186803,0.5620571219270494
1,2,2,softplus,0.32360922659430125,vacuity,0.727274065382731,0.5906211106945671,0.4988478496972007
1,2,2,softplus,0.32360922659430125,dissonance,0.6732797974636698,0.4593524269867857,0.3381517688143127
1,2,2,softplus,0.32360922659430125,overall,0.7652349080785332,0.6210853493052979,0.5361414646977404
2,2,2,softplus,0.2687564234326824,entropy,0.8338401217904705,0.6647218801164789,0.606199141138553
2,2,2,softplus,0.2687564234326824,un_prob,0.8396058202515624,0.6654757507825027,0.6070845998015094
2,2,2,softplus,0.2687564234326824,vacuity,0.8163777546964712,0.6591529468822341,0.5996581515525057
2,2,2,softplus,0.2687564234326824,dissonance,0.6172454983613915,0.34168631503926505,0.2267777729490802
2,2,2,softplus,0.2687564234326824,overall,0.8338239977211317,0.6647141413291113,0.6061900515471625
3,2,2,relu,0.2125340599455041,entropy,0.9132702289060419,0.6172255872132443,0.5674596037452646
3,2,2,relu,0.2125340599455041,un_prob,0.9129846508739244,0.6169747318623388,0.5671761337189027
3,2,2,relu,0.2125340599455041,vacuity,0.9127877961139208,0.6165169080313563,0.5666587864390094
3,2,2,relu,0.2125340599455041,dissonance,0.5019699339011623,0.21653411113560966,0.11467267742825105
3,2,2,relu,0.2125340599455041,overall,0.9132702289060419,0.6172255872132443,0.5674596037452646
4,2,2,softplus,0.28969359331476324,entropy,0.8717601809954751,0.6984517434147529,0.6403389660163465
4,2,2,softplus,0.28969359331476324,un_prob,0.8799819004524887,0.7064180001271227,0.6498404373847945
4,2,2,softplus,0.28969359331476324,vacuity,0.8249487179487179,0.6572809930562422,0.5912340074551325
4,2,2,softplus,0.28969359331476324,dissonance,0.7417073906485672,0.4662136855003981,0.3633452238349201
4,2,2,softplus,0.28969359331476324,overall,0.8728069381598795,0.6989567279332214,0.6409412684674195
5,2,2,softplus,0.3251770766258854,entropy,0.8643375406242915,0.7048295803260625,0.6382197910471755
5,2,2,softplus,0.3251770766258854,un_prob,0.8570270576675988,0.6933484860348205,0.6241478095244979
5,2,2,softplus,0.3251770766258854,vacuity,0.8747845967802889,0.7189627239288447,0.6555422979956125
5,2,2,softplus,0.3251770766258854,dissonance,0.6098546973017913,0.3835859537834836,0.24448255117158005
5,2,2,softplus,0.3251770766258854,overall,0.8643375406242915,0.7048295803260625,0.6382197910471755
6,2,2,softplus,0.4529956161714564,entropy,0.7563754919139403,0.6914363174405515,0.5762975612541273
6,2,2,softplus,0.4529956161714564,un_prob,0.7596620994073097,0.6937995077472079,0.5795425623762475
6,2,2,softplus,0.4529956161714564,vacuity,0.7477111040894684,0.6837592183372042,0.5657557969557471
6,2,2,softplus,0.4529956161714564,dissonance,0.554003772537079,0.4882218115886233,0.29725473611085823
6,2,2,softplus,0.4529956161714564,overall,0.7563754919139403,0.6914363174405515,0.5762975612541273
7,2,2,softplus,0.2738031199569661,entropy,0.8410216110019646,0.5785051668894199,0.5031178849902855
7,2,2,softplus,0.2738031199569661,un_prob,0.8409633995488612,0.5786619261724193,0.5033026817611245
7,2,2,softplus,0.2738031199569661,vacuity,0.8291886778723714,0.5685649297588797,0.4913997673263731
7,2,2,softplus,0.2738031199569661,dissonance,0.7943840500618496,0.4909140879442372,0.39986053248355374
7,2,2,softplus,0.2738031199569661,overall,0.8409546678308957,0.5784347147952473,0.5030348320491593
8,2,2,softplus,0.21654815772462832,entropy,0.8108122752573764,0.5249638349582177,0.4617838845306353
8,2,2,softplus,0.21654815772462832,un_prob,0.8263681592039801,0.5508240027561526,0.4910834622930279
8,2,2,softplus,0.21654815772462832,vacuity,0.7784912073296881,0.4873363537542385,0.4191519371993811
8,2,2,softplus,0.21654815772462832,dissonance,0.779688192699867,0.458543308222087,0.3865294080968146
8,2,2,softplus,0.21654815772462832,overall,0.8107063691443771,0.5248922040792419,0.461702726723573
9,2,2,softplus,0.2171201814058957,entropy,0.8520200482868017,0.6507547658724316,0.6041724040863512
9,2,2,softplus,0.2171201814058957,un_prob,0.8455143754383909,0.6433819790841123,0.595816234310994
9,2,2,softplus,0.2171201814058957,vacuity,0.8620025977316171,0.6574464203193178,0.6117565920252718
9,2,2,softplus,0.2171201814058957,dissonance,0.6227390376292957,0.26508320523229856,0.1670599348445026
9,2,2,softplus,0.2171201814058957,overall,0.8520200482868017,0.6507547658724316,0.6041724040863512
10,2,2,softplus,0.3212692117005453,entropy,0.7923537276014754,0.6181275798139708,0.5334317155184172
10,2,2,softplus,0.3212692117005453,un_prob,0.7931343505667829,0.6170198806979509,0.5320783387125421
10,2,2,softplus,0.3212692117005453,vacuity,0.7854588823057291,0.6104146966444775,0.5240081843112031
10,2,2,softplus,0.3212692117005453,dissonance,0.7125176978780582,0.4559353704044342,0.3352667344925011
10,2,2,softplus,0.3212692117005453,overall,0.7918971899827756,0.6178076428608709,0.5330408194299345
1,2,3,softplus,0.22471190781049927,entropy,0.8709902813949058,0.6149587255754372,0.5613626132448852
1,2,3,softplus,0.22471190781049927,un_prob,0.880243070994516,0.6253785426678665,0.5732328246831785
1,2,3,softplus,0.22471190781049927,vacuity,0.8299114715299687,0.5759554939434122,0.5169302971934596
1,2,3,softplus,0.22471190781049927,dissonance,0.7809984919811511,0.4330240529649546,0.3541034058436161
1,2,3,softplus,0.22471190781049927,overall,0.8722018722018722,0.6158777606207388,0.5624095740706043
2,2,3,softplus,0.2444326617179215,entropy,0.8441914982684477,0.5897123049021844,0.5262977387025076
2,2,3,softplus,0.2444326617179215,un_prob,0.8442303154850248,0.5883822899949718,0.5247621550702571
2,2,3,softplus,0.2444326617179215,vacuity,0.8356669330593294,0.5815214147957118,0.516840854638387
2,2,3,softplus,0.2444326617179215,dissonance,0.6447737565171062,0.3224408354471293,0.21771646518666607
2,2,3,softplus,0.2444326617179215,overall,0.8441914982684477,0.5897123049021844,0.5262977387025076
3,2,3,softplus,0.1641684511063526,entropy,0.9338692310548398,0.7167317402121559,0.6896226233698017
3,2,3,softplus,0.1641684511063526,un_prob,0.9347826086956522,0.7137493293610203,0.6863547921743751
3,2,3,softplus,0.1641684511063526,vacuity,0.9187465191400884,0.7085263973147532,0.6806320191815509
3,2,3,softplus,0.1641684511063526,dissonance,0.7479263357219768,0.2898796016466473,0.22192021620219907
3,2,3,softplus,0.1641684511063526,overall,0.934077154420228,0.7170619735083844,0.6899844603939572
4,2,3,softplus,0.22657111356119075,entropy,0.7925855786956347,0.562232323233437,0.5006974423550852
4,2,3,softplus,0.22657111356119075,un_prob,0.8009496508177645,0.5699422251603531,0.5094910878332857
4,2,3,softplus,0.22657111356119075,vacuity,0.77416138167604,0.5500978910176825,0.4868573318068461
4,2,3,softplus,0.22657111356119075,dissonance,0.7061441159281554,0.3613941951988433,0.27162847193458833
4,2,3,softplus,0.22657111356119075,overall,0.7921520273726964,0.5619737731648852,0.5004025491563441
5,2,3,softplus,0.2023047375160051,entropy,0.7401723489851066,0.4376493040756862,0.3687973746300549
5,2,3,softplus,0.2023047375160051,un_prob,0.7605679947985453,0.4543536734275885,0.3875469589490349
5,2,3,softplus,0.2023047375160051,vacuity,0.7005760204807282,0.42520294646724255,0.3548271356747532
5,2,3,softplus,0.2023047375160051,dissonance,0.7284627262937603,0.4314894724065202,0.3618833582527411
5,2,3,softplus,0.2023047375160051,overall,0.7409698376577198,0.4381714682429646,0.3693834704518418
6,2,3,softplus,0.3662041625371655,entropy,0.8231412819343598,0.6684067962940443,0.5797342916688712
6,2,3,softplus,0.3662041625371655,un_prob,0.8247520845213774,0.6726637025187092,0.5851295521561592
6,2,3,softplus,0.3662041625371655,vacuity,0.8159405447210641,0.6605847979525847,0.5698205852454624
6,2,3,softplus,0.3662041625371655,dissonance,0.5244339443979513,0.3808181847740141,0.21524059825889216
6,2,3,softplus,0.3662041625371655,overall,0.8231412819343598,0.6684067962940443,0.5797342916688712
7,2,3,softplus,0.2011313639220616,entropy,0.8794797403619198,0.546405304722423,0.49126055342042
7,2,3,softplus,0.2011313639220616,un_prob,0.8856117230527145,0.5584256025922861,0.5047421918736512
7,2,3,softplus,0.2011313639220616,vacuity,0.8550575334382376,0.5061683565014179,0.446131889035404
7,2,3,softplus,0.2011313639220616,dissonance,0.8373278914240756,0.5174707748031308,0.4588083733322621
7,2,3,softplus,0.2011313639220616,overall,0.8794797403619198,0.546405304722423,0.49126055342042
8,2,3,softplus,0.17054263565891473,entropy,0.8947404141509101,0.596039922677275,0.5556591132906845
8,2,3,softplus,0.17054263565891473,un_prob,0.8891424894300524,0.5779323893080253,0.5357415078512168
8,2,3,softplus,0.17054263565891473,vacuity,0.8928777907929596,0.5807480154816541,0.5388385907088198
8,2,3,softplus,0.17054263565891473,dissonance,0.7867786419188291,0.3417441059319695,0.27594328234037185
8,2,3,softplus,0.17054263565891473,overall,0.894471452343487,0.5958166328218298,0.5554135028506153
9,2,3,softplus,0.21348314606741567,entropy,0.9338728766360346,0.7586720643787133,0.7271337567590046
9,2,3,softplus,0.21348314606741567,un_prob,0.9350459482038428,0.7598604354088008,0.7284774318611912
9,2,3,softplus,0.21348314606741567,vacuity,0.9214912280701756,0.7455279788015179,0.7122719164044929
9,2,3,softplus,0.21348314606741567,dissonance,0.707386521860206,0.366605428172989,0.2838292970155819
9,2,3,softplus,0.21348314606741567,overall,0.9338728766360346,0.7586720643787133,0.7271337567590046
10,2,3,softplus,0.2717872968980798,entropy,0.8539596623256999,0.6594805718517599,0.5991726706396157
10,2,3,softplus,0.2717872968980798,un_prob,0.8552561954316958,0.6623012271768463,0.602492879848085
10,2,3,softplus,0.2717872968980798,vacuity,0.832234617985125,0.6436012085020534,0.5804809829493756
10,2,3,softplus,0.2717872968980798,dissonance,0.6704650125917434,0.3774354555762745,0.2671757818552651
10,2,3,softplus,0.2717872968980798,overall,0.8569765362416831,0.6614696161396233,0.6015139858304092
1,2,4,softplus,0.32871536523929473,entropy,0.7924313328013917,0.5754413500999073,0.4781771947703054
1,2,4,softplus,0.32871536523929473,un_prob,0.7937557956481421,0.5784963168649,0.4819320383650999
1,2,4,softplus,0.32871536523929473,vacuity,0.7742536642873059,0.5617903132560986,0.4613987771316436
1,2,4,softplus,0.32871536523929473,dissonance,0.7023552795209649,0.4776688569962396,0.3580055373616933
1,2,4,softplus,0.32871536523929473,overall,0.7927062891318569,0.5756114651281298,0.4783862822574162
2,2,4,relu,0.30604093859211184,entropy,0.8483416855422676,0.6787309602661753,0.6120770833898405
2,2,4,relu,0.30604093859211184,un_prob,0.8589851772741676,0.6906662555322082,0.6264886013936882
2,2,4,relu,0.30604093859211184,vacuity,0.8161131127724248,0.6550768236934673,0.5835154091719253
2,2,4,relu,0.30604093859211184,dissonance,0.603480347858744,0.4001289052584315,0.27567329595445456
2,2,4,relu,0.30604093859211184,overall,0.8483416855422676,0.6787309602661753,0.6120770833898405
3,2,4,softplus,0.1933060109289617,entropy,0.8721243002426524,0.6151138946335849,0.5704853814767736
3,2,4,softplus,0.1933060109289617,un_prob,0.8884577063816674,0.6366248299327506,0.5944905638937983
3,2,4,softplus,0.1933060109289617,vacuity,0.846078815641054,0.5918036860318759,0.5444722954867552
3,2,4,softplus,0.1933060109289617,dissonance,0.8073441983346449,0.4495133140359705,0.3856829965351432
3,2,4,softplus,0.1933060109289617,overall,0.8721243002426524,0.6151138946335849,0.5704853814767736
4,2,4,softplus,0.2539509536784741,entropy,0.8389037454111111,0.598488267742203,0.5333362835855627
4,2,4,softplus,0.2539509536784741,un_prob,0.8358470986936363,0.5927873851409545,0.526710337572526
4,2,4,softplus,0.2539509536784741,vacuity,0.8242961091238552,0.5876262241089942,0.5207116919672177
4,2,4,softplus,0.2539509536784741,dissonance,0.6853738670813256,0.3676300115009378,0.26501741973394943
4,2,4,softplus,0.2539509536784741,overall,0.8390385513689074,0.5985575867483993,0.5334168507582026
5,2,4,softplus,0.17315175097276264,entropy,0.8974752148050232,0.6234944663210238,0.5851725133662784
5,2,4,softplus,0.17315175097276264,un_prob,0.9064639788499668,0.6410652920417692,0.604531754651775
5,2,4,softplus,0.17315175097276264,vacuity,0.8796798119997062,0.5930973067170289,0.5516814323823779
5,2,4,softplus,0.17315175097276264,dissonance,0.8024880663876037,0.3855154909831256,0.32297126695575
5,2,4,softplus,0.17315175097276264,overall,0.8974752148050232,0.6234944663210238,0.5851725133662784
6,2,4,softplus,0.3834468308014667,entropy,0.8294108156793925,0.6847379396652004,0.5944385345971931
6,2,4,softplus,0.3834468308014667,un_prob,0.8260442636878979,0.6827075613358388,0.5918266021315374
6,2,4,softplus,0.3834468308014667,vacuity,0.8238749529924648,0.6778379924537152,0.5855622597313873
6,2,4,softplus,0.3834468308014667,dissonance,0.6415739283442671,0.4558165219816303,0.2999479589813345
6,2,4,softplus,0.3834468308014667,overall,0.8294108156793925,0.6847379396652004,0.5944385345971931
7,2,4,softplus,0.17966101694915254,entropy,0.8651718731049778,0.5683973520074214,0.5225448860044942
7,2,4,softplus,0.17966101694915254,un_prob,0.8603097874109881,0.5658135348303829,0.5196865700730601
7,2,4,softplus,0.17966101694915254,vacuity,0.8669932602179601,0.5675096214647092,0.5215628450243489
7,2,4,softplus,0.17966101694915254,dissonance,0.7194479096280124,0.2726703354417308,0.19540051591631416
7,2,4,softplus,0.17966101694915254,overall,0.8650700833376648,0.5683161452130244,0.5224550519882842
8,2,4,softplus,0.1867145421903052,entropy,0.8768065696873644,0.5586037727122392,0.5095168232270515
8,2,4,softplus,0.1867145421903052,un_prob,0.8894643497292504,0.5802386279054383,0.5335576551330865
