sb_n,edl_used,outer_f,acti_fun,skew,uncertainty,nAP
2,2,2,relu,0.29239465570400824,entropy,0.6050363631582797
2,2,2,relu,0.29239465570400824,-max_prob,0.6162510769234036
2,2,2,relu,0.29239465570400824,vacuity,0.5755823029503047
2,2,2,relu,0.29239465570400824,dissonance,0.2271444285603816
3,2,2,relu,0.2070844686648501,entropy,0.7533970024962449
3,2,2,relu,0.2070844686648501,-max_prob,0.7433595356899804
3,2,2,relu,0.2070844686648501,vacuity,0.7470597228617575
3,2,2,relu,0.2070844686648501,dissonance,0.1542187635612603
4,2,2,relu,0.2908077994428969,entropy,0.6236751848036501
4,2,2,relu,0.2908077994428969,-max_prob,0.6379022583874603
4,2,2,relu,0.2908077994428969,vacuity,0.589188577210792
4,2,2,relu,0.2908077994428969,dissonance,0.3022399656492862
5,2,2,relu,0.3419188667095943,entropy,0.5864529202526046
5,2,2,relu,0.3419188667095943,-max_prob,0.5841392931086792
5,2,2,relu,0.3419188667095943,vacuity,0.5889766680665071
5,2,2,relu,0.3419188667095943,dissonance,0.22629177014446386
6,2,2,relu,0.4427666829030687,entropy,0.5624433452739355
6,2,2,relu,0.4427666829030687,-max_prob,0.5557765800700003
6,2,2,relu,0.4427666829030687,vacuity,0.5612326595179681
6,2,2,relu,0.4427666829030687,dissonance,0.2343348224342801
7,2,2,relu,0.2307692307692308,entropy,0.3938509244471101
7,2,2,relu,0.2307692307692308,-max_prob,0.4041895779676202
7,2,2,relu,0.2307692307692308,vacuity,0.3807413146110113
7,2,2,relu,0.2307692307692308,dissonance,0.2568752871234723
8,2,2,relu,0.2294764059469941,entropy,0.5189128969467974
8,2,2,relu,0.2294764059469941,-max_prob,0.5352724520394916
8,2,2,relu,0.2294764059469941,vacuity,0.4930788349559659
8,2,2,relu,0.2294764059469941,dissonance,0.2995994170872837
9,2,2,relu,0.2494331065759637,entropy,0.5932927581302785
9,2,2,relu,0.2494331065759637,-max_prob,0.594584363638037
9,2,2,relu,0.2494331065759637,vacuity,0.5957551017773677
9,2,2,relu,0.2494331065759637,dissonance,0.18543618800835765
10,2,2,relu,0.33763014377788797,entropy,0.5833512941356216
10,2,2,relu,0.33763014377788797,-max_prob,0.5821884646627518
10,2,2,relu,0.33763014377788797,vacuity,0.5831459950880717
10,2,2,relu,0.33763014377788797,dissonance,0.18122545835509246
1,2,3,relu,0.20486555697823305,entropy,0.5842475291189733
1,2,3,relu,0.20486555697823305,-max_prob,0.6048259537839359
1,2,3,relu,0.20486555697823305,vacuity,0.5462482186382054
1,2,3,relu,0.20486555697823305,dissonance,0.2123440711240306
2,2,3,relu,0.3091198303287381,entropy,0.5275660046078456
2,2,3,relu,0.3091198303287381,-max_prob,0.5284552124268632
2,2,3,relu,0.3091198303287381,vacuity,0.5210199378576521
2,2,3,relu,0.3091198303287381,dissonance,0.19011462329326165
3,2,3,relu,0.1684511063526053,entropy,0.7109132494786352
3,2,3,relu,0.1684511063526053,-max_prob,0.7097989753612766
3,2,3,relu,0.1684511063526053,vacuity,0.7028313892554655
3,2,3,relu,0.1684511063526053,dissonance,0.11460941838071295
4,2,3,relu,0.2309812568908489,entropy,0.4766390323687826
4,2,3,relu,0.2309812568908489,-max_prob,0.4776233993832287
4,2,3,relu,0.2309812568908489,vacuity,0.4683641664003755
4,2,3,relu,0.2309812568908489,dissonance,0.16903988515083873
5,2,3,relu,0.21959026888604352,entropy,0.4163830403610953
5,2,3,relu,0.21959026888604352,-max_prob,0.4230249849045269
5,2,3,relu,0.21959026888604352,vacuity,0.4070361295223603
5,2,3,relu,0.21959026888604352,dissonance,0.1905587673219329
6,2,3,relu,0.3820614469772052,entropy,0.6346420904936698
6,2,3,relu,0.3820614469772052,-max_prob,0.6321033062331062
6,2,3,relu,0.3820614469772052,vacuity,0.6322592454615285
6,2,3,relu,0.3820614469772052,dissonance,0.1932227243562286
7,2,3,relu,0.1565053425518542,entropy,0.40258338475632655
7,2,3,relu,0.1565053425518542,-max_prob,0.4276160200927157
7,2,3,relu,0.1565053425518542,vacuity,0.3697891338765152
7,2,3,relu,0.1565053425518542,dissonance,0.2900236697355383
8,2,3,relu,0.16636851520572452,entropy,0.5142156828769342
8,2,3,relu,0.16636851520572452,-max_prob,0.5379338593136568
8,2,3,relu,0.16636851520572452,vacuity,0.4660528074358592
8,2,3,relu,0.16636851520572452,dissonance,0.2502672167434142
9,2,3,relu,0.2372034956304619,entropy,0.7070766941979546
9,2,3,relu,0.2372034956304619,-max_prob,0.6968410898373645
9,2,3,relu,0.2372034956304619,vacuity,0.6933940693528192
9,2,3,relu,0.2372034956304619,dissonance,0.2254640940672457
10,2,3,relu,0.25406203840472674,entropy,0.5152367243693167
10,2,3,relu,0.25406203840472674,-max_prob,0.5156256149408837
10,2,3,relu,0.25406203840472674,vacuity,0.5082655099546284
10,2,3,relu,0.25406203840472674,dissonance,0.17716499167921815
1,2,4,relu,0.35768261964735515,entropy,0.5178668207064647
1,2,4,relu,0.35768261964735515,-max_prob,0.5314779372620433
1,2,4,relu,0.35768261964735515,vacuity,0.4909972889702534
1,2,4,relu,0.35768261964735515,dissonance,0.30219297066356665
2,2,4,relu,0.31852221667498753,entropy,0.6010124616898879
2,2,4,relu,0.31852221667498753,-max_prob,0.6099944601664361
2,2,4,relu,0.31852221667498753,vacuity,0.586194908561928
2,2,4,relu,0.31852221667498753,dissonance,0.2469484037377675
3,2,4,relu,0.1837431693989071,entropy,0.5481798383379664
3,2,4,relu,0.1837431693989071,-max_prob,0.5454409170532696
3,2,4,relu,0.1837431693989071,vacuity,0.5323630372541773
3,2,4,relu,0.1837431693989071,dissonance,0.185847582614385
4,2,4,relu,0.246866485013624,entropy,0.5555311624086515
4,2,4,relu,0.246866485013624,-max_prob,0.5594360002059736
4,2,4,relu,0.246866485013624,vacuity,0.5358214778692474
4,2,4,relu,0.246866485013624,dissonance,0.1939687852950802
5,2,4,relu,0.21076523994811933,entropy,0.5959017595544598
5,2,4,relu,0.21076523994811933,-max_prob,0.6260986041255024
5,2,4,relu,0.21076523994811933,vacuity,0.5389394999872839
5,2,4,relu,0.21076523994811933,dissonance,0.3593612045044954
6,2,4,relu,0.3755893137768465,entropy,0.6021796791853734
6,2,4,relu,0.3755893137768465,-max_prob,0.6046388576802633
6,2,4,relu,0.3755893137768465,vacuity,0.5960083745755745
6,2,4,relu,0.3755893137768465,dissonance,0.21863912338628244
7,2,4,relu,0.2361581920903955,entropy,0.5501129932606519
7,2,4,relu,0.2361581920903955,-max_prob,0.5544323369016464
7,2,4,relu,0.2361581920903955,vacuity,0.5075039729669012
7,2,4,relu,0.2361581920903955,dissonance,0.2908482033343245
8,2,4,relu,0.1891083183722322,entropy,0.4556776046344962
8,2,4,relu,0.1891083183722322,-max_prob,0.4869923756328395
8,2,4,relu,0.1891083183722322,vacuity,0.4087630953307195
8,2,4,relu,0.1891083183722322,dissonance,0.3165128775816353
9,2,4,relu,0.1412140575079872,entropy,0.499907591725061
9,2,4,relu,0.1412140575079872,-max_prob,0.5108669004617797
9,2,4,relu,0.1412140575079872,vacuity,0.4696617434910469
9,2,4,relu,0.1412140575079872,dissonance,0.1960934267748145
