edl_used,sb,test_trial,threshold,RR,TAR
0,5,1,0.96,0.7442,0.9517
0,5,1,0.98,0.7922,0.9637
0,6,1,0.0,0.0,0.5055
0,6,1,0.02,0.0,0.5055
0,6,1,0.04,0.0,0.5055
0,6,1,0.06,0.0,0.5055
0,6,1,0.08,0.0005,0.5057
0,6,1,0.1,0.0024,0.5067
0,6,1,0.12,0.0048,0.5079
0,6,1,0.14,0.0071,0.5086
0,6,1,0.16,0.0157,0.513
0,6,1,0.18,0.0252,0.518
0,6,1,0.2,0.0352,0.5214
0,6,1,0.22,0.0523,0.5273
0,6,1,0.24,0.0694,0.534
0,6,1,0.26,0.0918,0.5435
0,6,1,0.28,0.1103,0.5505
0,6,1,0.3,0.1322,0.5562
0,6,1,0.32,0.1541,0.5627
0,6,1,0.34,0.1731,0.5739
0,6,1,0.36,0.1978,0.5857
0,6,1,0.38,0.2221,0.6009
0,6,1,0.4,0.2416,0.6094
0,6,1,0.42,0.2639,0.6189
0,6,1,0.44,0.2867,0.6313
0,6,1,0.46,0.3086,0.6403
0,6,1,0.48,0.3314,0.6501
0,6,1,0.5,0.3514,0.6606
0,6,1,0.52,0.3757,0.6702
0,6,1,0.54,0.3951,0.6824
0,6,1,0.56,0.4151,0.6854
0,6,1,0.58,0.4398,0.6927
0,6,1,0.6,0.4603,0.6987
0,6,1,0.62,0.4826,0.7086
0,6,1,0.64,0.5017,0.7233
0,6,1,0.66,0.5235,0.7295
0,6,1,0.68,0.5497,0.7371
0,6,1,0.7000000000000001,0.5682,0.7511
0,6,1,0.72,0.5911,0.7663
0,6,1,0.74,0.6053,0.7759
0,6,1,0.76,0.6262,0.7812
0,6,1,0.78,0.6429,0.787
0,6,1,0.8,0.6572,0.7906
0,6,1,0.8200000000000001,0.6748,0.7968
0,6,1,0.84,0.6961,0.8044
0,6,1,0.86,0.718,0.8128
0,6,1,0.88,0.7389,0.8270000000000001
0,6,1,0.9,0.7689,0.8457
0,6,1,0.92,0.7936,0.8664
0,6,1,0.94,0.8203,0.8783
0,6,1,0.96,0.8474,0.8941
0,6,1,0.98,0.8754,0.9122
0,7,1,0.0,0.0,0.5634
0,7,1,0.02,0.0,0.5634
0,7,1,0.04,0.0,0.5634
0,7,1,0.06,0.0,0.5634
0,7,1,0.08,0.0,0.5634
0,7,1,0.1,0.0,0.5634
0,7,1,0.12,0.0,0.5634
0,7,1,0.14,0.0005,0.5637
0,7,1,0.16,0.0011,0.564
0,7,1,0.18,0.0016,0.5644
0,7,1,0.2,0.0022,0.5647
0,7,1,0.22,0.0027,0.565
0,7,1,0.24,0.0032,0.5653
0,7,1,0.26,0.0032,0.5653
0,7,1,0.28,0.0048,0.5656
0,7,1,0.3,0.0091,0.5676
0,7,1,0.32,0.0129,0.5692
0,7,1,0.34,0.0177,0.5714
0,7,1,0.36,0.0285,0.5772
0,7,1,0.38,0.0403,0.5804
0,7,1,0.4,0.0478,0.585
0,7,1,0.42,0.0581,0.5908
0,7,1,0.44,0.0726,0.5948
0,7,1,0.46,0.086,0.6
0,7,1,0.48,0.1054,0.6028
0,7,1,0.5,0.1296,0.6103
0,7,1,0.52,0.1575,0.6197
0,7,1,0.54,0.18600000000000003,0.6242
